,first_name,last_name,postcode,CustomerID,warehouse
0,Ty,Guzmán,MK41 9DT,1234,East of England
1,Ryker,Martínez,WR11 7UR,1235,West Midlands
2,Boone,Bandyopadhyay,ST1 5HF,1236,West Midlands
3,Brycen,Liyanage,PE37 7BN,1237,East of England
4,Hezekiah,Gil,TQ9 7LP,1238,South West
5,Helena,Özkan,YO31 0XH,1239,Yorkshire and The Humber
6,Wendy,Amarasinghe,BN5 9HD,1240,South East
7,Carter,Gamage,G81 2QX,1241,
8,Shepard,Huỳnh,BN41 2DR,1242,South East
9,Georgia,Mukhopadhyay,SO22 4JG,1243,South East
10,Gemma,Gil,CF44 7BU,1244,
11,Holly,Gutiérrez,OX3 7JA,1245,South East
12,Leon,Vega,DE7 6JA,1246,East Midlands
13,Emory,Gelashvili,GU15 3HG,1247,South East
14,Saint,Ngô,B30 1HD,1248,West Midlands
15,Alia,Sampath,LS8 5AS,1249,Yorkshire and The Humber
16,Nala,Maldonado,G84 0PY,1250,
17,Zechariah,Shengelia,SA9 2AY,1251,
18,Esperanza,Mukhopadhyay,SN25 2QG,1252,South West
19,Yamileth,Russo,TS21 4EW,1253,North East
20,Rylan,Rossi,RG31 5NY,1254,South East
21,Violeta,Gómez,SA43 2QT,1255,
22,Estrella,Jayasinghe,PR3 5BH,1256,North West
23,Joziah,Figueroa,PR7 3FR,1257,North West
24,Lochlan,Jayasekara,IP11 9RY,1258,East of England
25,August,Miranda,HP17 0XP,1259,South East
26,Phillip,Vidal,FK2 9NN,1260,
27,Kamdyn,Gunawardena,GL5 4QS,1261,South West
28,Skyler,Bhuiyan,WS9 8AT,1262,West Midlands
29,Eleanor,Uddin,W5 3DW,1263,London
30,Jamie,Soria,WR14 1AH,1264,West Midlands
31,Scarlet,Otero,PO9 1NJ,1265,South East
32,Trenton,Aydın,GU10 2HW,1266,South East
33,Presley,Alonso,DN20 8EY,1267,Yorkshire and The Humber
34,Gianni,Díaz,NR24 2QN,1268,East of England
35,Alannah,Varela,E17 9PE,1269,London
36,Alexzander,Özkan,EX23 8QH,1270,South West
37,Zora,Correa,PA5 8WP,1271,
38,Fox,Prieto,KA3 1JJ,1272,
