CustomerID,first_name,last_name,postcode,warehouse
1234,Ty,Guzmán,MK41 9DT,East of England
1235,Ryker,Martínez,WR11 7UR,West Midlands
1236,Boone,Bandyopadhyay,ST1 5HF,West Midlands
1237,Brycen,Liyanage,PE37 7BN,East of England
1238,Hezekiah,Gil,TQ9 7LP,South West
1239,Helena,Özkan,YO31 0XH,Yorkshire and The Humber
1240,Wendy,Amarasinghe,BN5 9HD,South East
1241,Carter,Gamage,G81 2QX,
1242,Shepard,Huỳnh,BN41 2DR,South East
1243,Georgia,Mukhopadhyay,SO22 4JG,South East
1244,Gemma,Gil,CF44 7BU,
1245,Holly,Gutiérrez,OX3 7JA,South East
1246,Leon,Vega,DE7 6JA,East Midlands
1247,Emory,Gelashvili,GU15 3HG,South East
1248,Saint,Ngô,B30 1HD,West Midlands
1249,Alia,Sampath,LS8 5AS,Yorkshire and The Humber
1250,Nala,Maldonado,G84 0PY,
1251,Zechariah,Shengelia,SA9 2AY,
1252,Esperanza,Mukhopadhyay,SN25 2QG,South West
1253,Yamileth,Russo,TS21 4EW,North East
1254,Rylan,Rossi,RG31 5NY,South East
1255,Violeta,Gómez,SA43 2QT,
1256,Estrella,Jayasinghe,PR3 5BH,North West
1257,Joziah,Figueroa,PR7 3FR,North West
1258,Lochlan,Jayasekara,IP11 9RY,East of England
1259,August,Miranda,HP17 0XP,South East
1260,Phillip,Vidal,FK2 9NN,
1261,Kamdyn,Gunawardena,GL5 4QS,South West
1262,Skyler,Bhuiyan,WS9 8AT,West Midlands
1263,Eleanor,Uddin,W5 3DW,London
1264,Jamie,Soria,WR14 1AH,West Midlands
1265,Scarlet,Otero,PO9 1NJ,South East
1266,Trenton,Aydın,GU10 2HW,South East
1267,Presley,Alonso,DN20 8EY,Yorkshire and The Humber
1268,Gianni,Díaz,NR24 2QN,East of England
1269,Alannah,Varela,E17 9PE,London
1270,Alexzander,Özkan,EX23 8QH,South West
1271,Zora,Correa,PA5 8WP,
1272,Fox,Prieto,KA3 1JJ,
1273,Andrea,Vásquez,CW6 9RF,North West
1274,Sage,Wickramasinghe,L23 5RB,North West
1275,Jordan,Ramírez,CA2 5HT,North West
1276,Ahmir,Gómez,DY10 3RB,West Midlands
1277,Ledger,Bairamovi,CF48 2TY,
1278,William,Ruiz,GU9 8DG,South East
1279,Calliope,Ferrari,E14 7LG,London
1280,Curtis,Liyanage,TQ4 7LP,South West
1281,Lucia,Domínguez,G74 3BX,
1282,Blaine,Gunasekara,LE2 6FR,East Midlands
1283,Cara,Ibáñez,LS17 6NN,Yorkshire and The Humber
1284,Adrien,Paz,NR13 6RX,East of England
1285,Dangelo,Dissanayake,L39 6RN,North West
1286,Aryan,Vera,TA3 6LP,South West
1287,Corbin,Chathuranga,DT6 4LP,South West
1288,Raymond,Nanayakkara,DN22 8AZ,East Midlands
1289,Louis,Suárez,WF6 1NT,Yorkshire and The Humber
1290,Juniper,Otero,CV32 7PT,West Midlands
1291,Ernesto,Kvaratskhelia,BT78 4LW,
1292,Cole,Gamage,PO40 9DN,South East
1293,Marshall,Muhammad,PO14 4JE,South East
1294,Kai,Çetin,AB22 8XT,
1295,Sawyer,Pereyra,GL1 1SZ,South West
1296,Maliah,Mohamed,TN8 6LR,South East
1297,Gregory,Jayawardena,HD2 1XQ,Yorkshire and The Humber
1298,Jana,Gunawardena,DN14 0SN,Yorkshire and The Humber
1299,Leslie,Vega,PL2 1RG,South West
1300,Kai,Yıldırım,E2 0PS,London
1301,Arthur,Romero,ME2 2NG,South East
1302,Kareem,Varela,TS3 7LF,North East
1303,Addyson,Munshi,BN44 3DD,South East
1304,Sage,Munasinghe,PE36 6BQ,East of England
1305,Skylar,Giorgadze,DD5 3EJ,
1306,Gianna,Lomidze,YO23 1NW,Yorkshire and The Humber
1307,Morgan,Mullah,LS9 7SU,Yorkshire and The Humber
1308,Maxwell,Bandara,PR1 9AB,North West
1309,Claudia,Ranasinghe,CV32 4NW,West Midlands
1310,Lila,Đặng,BT36 7LN,
1311,Victor,Carrizo,RH11 9JF,South East
1312,Cyrus,Kaya,RH13 0QN,South East
1313,Maximus,Martín,PR4 5HX,North West
1314,Alana,Martínez,M5 3DY,North West
1315,Kailey,Kazi,N1 7TU,London
1316,Bristol,Dissanayake,UB4 9RE,London
1317,Kathleen,Majumdar,L30 1PJ,North West
1318,Elliot,Kaya,WS7 1FN,West Midlands
1319,Liberty,Rivero,KT7 0PS,South East
1320,Drake,Çelik,NG20 9PE,East Midlands
1321,Madeline,Aguilar,RH20 2PZ,South East
1322,Shiloh,Tabatadze,BR2 9QP,London
1323,Emory,Blanco,DN10 5HT,East Midlands
1324,Morgan,Herath,BT23 6BG,
1325,Bryce,Karunaratne,G41 3BF,
1326,Cash,Lorenzo,CW9 7AL,North West
1327,Leslie,Ledesma,LS17 6NN,Yorkshire and The Humber
